Kepler ID,KOI Name,Kepler Disposition,NExScI Disposition,RA (J2000),Dec (J2000),Time of Transit Epoch,Period,Transit Depth,Duration,Ingress Duration,Impact Parameter,Inclination,Semi-major Axis,Eccentricity,Long of Periastron,r/R,a/R,Planet Radius,Teq,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Age,Provenance,Quarters,Transit Number,KOI count,Binary Discrimination,Transit Model,Transit Model SNR,Transit Model DOF,Transit Model chisq,Last vet Update,,,
integer,string,string,string,ra,dec,double,double,real,double,double,float,float,float,real,float,float,float,float,integer,integer,float,float,float,float,float,string,string,integer,integer,float,string,real,float,float,datetime,,,
2304320,K02033.01,CANDIDATE,CANDIDATE,19 26 57.993,+37 41 20.18,133.9492,16.54091,371,2.8218,,0.76,88.81,0.119,0,,0.019,30,1.51,560,5176,4.64,,0.71,0.814,0.9,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),35.1,,1.28,10/25/13 0:00
2305311,K04434.01,FALSE POSITIVE,FALSE POSITIVE,19 27 54.309,+37 40 07.15,131.5574,1.404663,113,3.13,0.36,0.949,39,0.022,0,,0.013,1.21,0.94,1180,,,,0.672,,,,,567,1,0.919,mandel-agol_geometric_transit_model,10.6,10586.48,8805.2,9/5/13 0:00,,,
2305866,K02610.01,FALSE POSITIVE,FALSE POSITIVE,19 28 22.398,+37 36 48.53,145.978,24.10608,92,10.0209,,0.19,89.38,0.172,0,,0.009,18.2,1.11,720,6210,4.353,,1.188,1.161,,J-K,,,1,,Mandel and Agol (2002, ApJ,580, 171),17.8,,2.03,10/25/13 0:00
2306756,K00113.01,FALSE POSITIVE,FALSE POSITIVE,19 29 05.698,+37 40 17.61,166.34219,386.60243,25086,6.8093,,1.179,89.95,1.062,0,,0.384,314.6,62,285,5500,4.133,,1.47,1.068,8.8,SME,,,1,,Mandel and Agol (2002, ApJ,580, 171),1284,,20.37,10/25/13 0:00
2307199,K00151.01,CANDIDATE,CANDIDATE,19 29 29.941,+37 37 51.45,132.8282,13.447247,1426,3.2337,,0.976,85.37,0.115,0,,0.051,12.4,6,852,6290,4.42,,1.08,1.12,1.17,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),108.9,,1.72,10/25/13 0:00
2307206,K03549.01,FALSE POSITIVE,FALSE POSITIVE,19 29 30.278,+37 39 26.85,253.5336418,204.0294952,500031,9,3.18854,0.1,89.98,0.657,0,,0.543,266.603,47.609,270,,,,0.804,,,,,0,1,-1,mandel-agol_geometric_transit_model,,,,7/31/13 0:00,,,
2307415,K02053.01,CANDIDATE,CANDIDATE,19 29 41.060,+37 40 58.15,133.3943,13.12155,192,3.6361,,0.6,88.24,0.113,0,,0.013,22.6,1.71,901,6310,4.34,,1.19,1.13,2.54,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),37.7,,1.31,10/25/13 0:00
2307415,K02053.02,CANDIDATE,CANDIDATE,19 29 41.060,+37 40 58.15,132.7749,4.612661,147,2.9534,,0.37,88.24,0.056,0,,0.011,11.2,1.45,1280,6310,4.34,,1.19,1.13,2.54,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),40.8,,1.6,10/25/13 0:00
2309585,K01004.01,FALSE POSITIVE,FALSE POSITIVE,19 31 35.845,+37 39 21.81,352.72243,1.8385144,7536,2.4355,,1.08,63.6,0.03,0,,0.209,2.41,20,1326,5524,4.55,,0.89,1.02,,KIC,,,1,,Mandel and Agol (2002, ApJ,580, 171),370.1,,29.8,10/25/13 0:00
2309719,K01020.01,CANDIDATE,CANDIDATE,19 31 43.403,+37 36 23.90,164.06946,54.356319,10337,6.4445,,1.25,88.24,0.288,0,,0.37,35.8,59,599,6059,4.15,,1.45,1.08,6,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),1158,,1.9,10/25/13 0:00
2436378,K02682.01,CANDIDATE,CANDIDATE,19 20 34.021,+37 44 28.92,136.2776,8.531613,82022,3.6745,,0.85,87.66,0.082,0,,0.37,23.2,40,890,5780,4.44,,1,1,,J-K,,,1,,Mandel and Agol (2002, ApJ,580, 171),113.5,,1.7,10/25/13 0:00
2437060,K03712.01,FALSE POSITIVE,FALSE POSITIVE,19 20 47.886,+37 46 37.16,132.85121,3.1870902,144774,6.9392,2.653,0.613,81.81,0.048,0,,0.37,4.3,680.1,3681.5,,,,16.832,,,,,164,1,0.757,mandel-agol_geometric_transit_model,405.7,7258.34,6473.47,7/31/13 0:00,,,
